Type,Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
Home Stay Units,BLUE RIBBON,"3/339, KANDUWELA ESTATE, GURUDENIYA",5,C,Kandy,Gagawata Koralya,Kandy Divisional Secretariat,80.6892666,7.2655464
Home Stay Units,VILLU VILLA,"601/45B, JAYA MAWATHA, AIRPORT ROAD, ANURADHAPURA",4,A,Anuradhapura,Anuradhapura,Anuradhapura East,80.4219063,8.31536
Home Stay Units,SARA HOMES,"NO 141, 4TH LANE, VISHAKA WATTHA, EKALA",3,A,Gampaha,Ja-Ela Pradeshiya Sabha,Ja-Ela Divisional Secretariat,79.9066758,7.0959788
Home Stay Units,THOTUPOLA RESIDENCE,"NO 162/1, HALLOLUWA, KANDY",4,B,Kandy,Harispattuwa Pradeshiya Sabha,Harispattuwa Divisional Secretariat,80.606204,7.2906944
Home Stay Units,HOLIDAY STAY INN,"NO. 100/7B, GEORGE E DE SILVA MAWATHA, KANDY VIEW GARDEN, KANDY",3,A,Kandy,Gagawata Koralya,Gagawata,80.6196331,7.2874246
Home Stay Units,HANTAHANA HOLIDAY ROOMS,"NO. 13/B/15/1, N. H. S. HANTANA, KANDY",5,B,Kandy,Gagawata Koralya,Kandy Divisional Secretariat,80.6366113,7.2749143
Home Stay Units,OPEN HILL,"86/45 KANDY VIEW GARDEN,GEORGE.E.DE SILVA MAWATHA, KANDY",2,C,Kandy,Kandy,Kandy Divisional Secretariat,80.6194594,7.2869723
Home Stay Units,GARDEN REST-KANDY,"3/30,30/3/1/2,VIHARA MW.,SUDUHUMPOLA,KANDY",3,A,Kandy,MC,GANGAWATA KORALAYA,80.6246844,7.2832395
Home Stay Units,RENUKA INN,"29/261/K, AMPITIYA ROAD, KANDY.",3,A,Kandy,Kandy,Gagawata,80.6483964,7.2849469
Home Stay Units,VILLA AVIKSHA,"88 PUBUDU MAWATHA , MADIHA , MATARA",3,C,Matara,Matara,Matara Divisional Secretariat,80.512295,5.937323
Home Stay Units,MISTY HILLS,"37, UDA PERADENIYA, PERADENIYA",1,A,Kandy,Kandy,Kandy Divisional Secretariat,80.6049198,7.2657901
Home Stay Units,DAMMIKA HOME,"19 (27/7) SANGAMITTA AVENVE, OFF SRI DHARMPALA ROAD, MOUNT LAVINIA",3,C,Colombo,Colombo,Colombo Divisional Secretariat,79.8641082,6.8435879
Home Stay Units,DREAM STAY,"25/8, GLASSAUGH ROAD, NANU OYA, NUWARA ELIYA",3,C,Nuwara Eliya,Nuwara Eliya,Mahaoya Divisional Secretariat,80.7431439,6.9428324
Home Stay Units,SHERENES HOME STAY,"87/5, DAMMA DASSI MAWATHA, KANDY.",2,A,Kandy,Kandy,Kandy Divisional Secretariat,80.6359503,7.305467
Home Stay Units,KANDY RIVER BREEZE,"324A, HEWAHETA ROAD, THALWATTA, KANDY.",3,A,Kandy,Gagawata Koralya,Gagawata,80.6523487,7.2915244
Home Stay Units,JUNGLE VIEW,"NO.55,CIRCULAR ROAD,HANTHANA HOUSING SCHEME,HANTHANA,KANDY.",3,A,Kandy,Kandy,Kandy Divisional Secretariat,80.635864,7.281025
Home Stay Units,SUWANI PINNAWALA HOME STAY.,"PINNA LANDA WATTA,BATHABURAYA,RAMBUKKANA.",3,C,Kegalle,Rambukkana Pradeshiya Sabha,Rambukkana Divisional Secretariat,80.383586,7.3007563
